objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
te_029,Leitz Microscope No. 42935,,,,Technology,,,,,,te_029,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/79ba0643cbf8f1f76cb8beef6b6ee04833a6f9d4.tif,,,,,
te_035,Micrometer Eyepiece for Microscope,,,,Technology,,Display Case H5,,,,te_035,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/9c0a4a5ccb32b49be98b7bb4542b831ae689275c.jpg,,,,,
te_033,Boxed Polarizers for Microscope,,,,Technology,,Display Case H5,,,,te_033,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/5c264c577546273dbaef6af616de6f12d3d2395f.jpg,,,,,
te_043,Surveyor’s Transit Serial No. 7969,Young & Sons,,,Technology,,Storage Location Prep Room,,,,te_043,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/40861a3c633f8ec3e113c363702c129d4c1e9801.tif,,,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/350a688047450b0d426f678d45be0a2d4a9c9560.jpg
em_181,Magnetometer,,,,Electricity_and_Magnetism,,Dead Storage Room,,,,em_181,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/6ac63fd71586d920eff8abe88153b11adde7718b.tif,,,,,
te_023,Microscope No. 53724,Bausch & Lomb,,,Technology,,,,,,te_023,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/7d8788d64cfdb287773368afb9406918b693a112.jpg,,,,,
te_050,Blank Silicon Wafer,,,,Technology,,,,,,te_050,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/dca7ff08288fc5bf33c303c1ba1aed1ea4ad719d.tif,,,,,
te_054,Test Pattern Silicon Wafer,,,,Technology,,,,,,te_054,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/1879c4d853771a1cd53732bf6d5c381e627aa226.tif,,,,,
te_057,386 Chip Silicon 6” Wafer,,,,Technology,,,,,,te_057,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/0daf52908354e14a28c051e17459c2d3fd8fb851.tif,,,,,
te_001,Grinnell's First Telephone with Wet Cells,,,,Technology,,,,,,te_001,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/db06990fbaafed48d189d8b42f087a32d023b9bb.jpg,,,,,
te_005,Stromberg Carlson Name Plate,,,,Technology,,Display Case H2,,,,te_005,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/67834958d3d51b4349c46c5c4f34245e2b7df990.jpg,,,,,
te_002,Single Box Telephone,,,,Technology,,Display Case H2,,,,te_002,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/14d9afca9f60b605662ad6ffff7b5f4511504e82.jpg,,,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/b8c8592ea9d61e8b1098d9e76ca484220aa35a47.jpg
te_017,Telephone in Transparent Case,,,,Technology,,Display Case H2,,,,te_017,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d6dc09a702c3beadfc185f396c69cab82ae09f2e.jpg,,,,,
em_175,Resistance Box,Otto Wolff,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_175,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/dc5f3458e5679209b603dcfee1337fe12688f7c4.jpg,,,,,
te_003,4-inch Section Trans-Continental Cable,,,,Technology,,Display Case H2,,,,te_003,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/957a8a67686908fc8dd623cf6d3ec7175bf9b64c.jpg,,,,,
me_207,Rolling Double Cone,,,,Mechanics,,Storage Location H4a,,,,me_207,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/e45c8363e1e3ea055c12832138f6e66dcff74a2c.jpg,,,,,
em_054,Eight Leyden Jars in a Box,,,,Electricity_and_Magnetism,,,,,,em_054,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/40d94aba9da15d09beda044485111cf678595d05.jpg,,,,,
te_197,Intel paper tape reader for Intellec 8,Intel Corp.,1976,,Technology,,Display Case V3,,,,te_197,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/690b7fc2e8736a915eca72e8790d257ce5cff079.jpg,,,,,
te_198,Intel Intellec 8 8080-Development System,Intel Corp.,1976,,Technology,,Display Case V3,,,,te_198,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/f7e7b7713d3d128959c8a44c9a0b633ea46e9457.jpg,,,,,
te_199,Apple-IIe with disc drives,Apple Inc.,1979,,Technology,,Display Case V3,,,,te_199,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d23839d723ebc13b7e072657885d36161bb762b4.jpg,,,,,
te_159,HP9100A Calculator,Hewlett Packard Co.,,,Technology,,Display Case B6,,,,te_159,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/28916c941e6a5f6964c8e298a9b8781b2f09bc17.jpg,,,,,
